+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
; Legal Partition Candidates                                                                                                                                                                                                                                                                                                                                                                                                                                                            ;
+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+-------+----------------+--------------+----------------+--------+-----------------+---------------+-----------------+-------+----------------+--------------+------------------+-------------------+
; Hierarchy                                                                                                                                                                                                                                                                        ; Input ; Constant Input ; Unused Input ; Floating Input ; Output ; Constant Output ; Unused Output ; Floating Output ; Bidir ; Constant Bidir ; Unused Bidir ; Input only Bidir ; Output only Bidir ;
+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+-------+----------------+--------------+----------------+--------+-----------------+---------------+-----------------+-------+----------------+--------------+------------------+-------------------+
; c0|\IOBUF:3:IOBUF|altiobuf1_iobuf_bidir_hto_component                                                                                                                                                                                                                            ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 1     ; 0              ; 0            ; 0                ; 0                 ;
; c0|\IOBUF:3:IOBUF                                                                                                                                                                                                                                                                ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 1     ; 0              ; 0            ; 0                ; 0                 ;
; c0|\IOBUF:2:IOBUF|altiobuf1_iobuf_bidir_hto_component                                                                                                                                                                                                                            ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 1     ; 0              ; 0            ; 0                ; 0                 ;
; c0|\IOBUF:2:IOBUF                                                                                                                                                                                                                                                                ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 1     ; 0              ; 0            ; 0                ; 0                 ;
; c0|\IOBUF:1:IOBUF|altiobuf1_iobuf_bidir_hto_component                                                                                                                                                                                                                            ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 1     ; 0              ; 0            ; 0                ; 0                 ;
; c0|\IOBUF:1:IOBUF                                                                                                                                                                                                                                                                ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 1     ; 0              ; 0            ; 0                ; 0                 ;
; c0|\IOBUF:0:IOBUF|altiobuf1_iobuf_bidir_hto_component                                                                                                                                                                                                                            ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 1     ; 0              ; 0            ; 0                ; 0                 ;
; c0|\IOBUF:0:IOBUF                                                                                                                                                                                                                                                                ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 1     ; 0              ; 0            ; 0                ; 0                 ;
; c0|ethlink_inst|\bufferfifo_inst:3:bufferfifo_inst|altbufferfifo_inst|scfifo_component|auto_generated|dpfifo|wr_ptr                                                                                                                                                              ; 4     ; 0              ; 0            ; 0              ; 9      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; c0|ethlink_inst|\bufferfifo_inst:3:bufferfifo_inst|altbufferfifo_inst|scfifo_component|auto_generated|dpfifo|rd_ptr_count                                                                                                                                                        ; 4     ; 0              ; 0            ; 0              ; 9      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; c0|ethlink_inst|\bufferfifo_inst:3:bufferfifo_inst|altbufferfifo_inst|scfifo_component|auto_generated|dpfifo|FIFOram                                                                                                                                                             ; 54    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; c0|ethlink_inst|\bufferfifo_inst:3:bufferfifo_inst|altbufferfifo_inst|scfifo_component|auto_generated|dpfifo|fifo_state|count_usedw                                                                                                                                              ; 5     ; 0              ; 0            ; 0              ; 9      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; c0|ethlink_inst|\bufferfifo_inst:3:bufferfifo_inst|altbufferfifo_inst|scfifo_component|auto_generated|dpfifo|fifo_state                                                                                                                                                          ; 5     ; 0              ; 0            ; 0              ; 11     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; c0|ethlink_inst|\bufferfifo_inst:3:bufferfifo_inst|altbufferfifo_inst|scfifo_component|auto_generated|dpfifo                                                                                                                                                                     ; 37    ; 0              ; 0            ; 0              ; 43     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; c0|ethlink_inst|\bufferfifo_inst:3:bufferfifo_inst|altbufferfifo_inst|scfifo_component|auto_generated                                                                                                                                                                            ; 36    ; 0              ; 0            ; 0              ; 43     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; c0|ethlink_inst|\bufferfifo_inst:3:bufferfifo_inst|altbufferfifo_inst                                                                                                                                                                                                            ; 36    ; 0              ; 0            ; 0              ; 43     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; c0|ethlink_inst|\bufferfifo_inst:3:bufferfifo_inst                                                                                                                                                                                                                               ; 36    ; 11             ; 0            ; 11             ; 43     ; 11              ; 11            ; 11              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
